id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
1667228453,0fc77d2c-5edd-3ef7-b195-6bdb0d4c2cb9,-10.085050,-36.150650,2024-01-10 16:05:00,Brasil,ALAGOAS,CORURIPE,Mata Atlântica
1667931787,df39828b-6841-3f3b-8e74-5d2d64cff748,-9.780450,-35.906311,2024-01-15 16:15:00,Brasil,ALAGOAS,MARECHAL DEODORO,Mata Atlântica
1667931790,79a5a666-f6ed-3acd-b2dd-b6c27eacc46c,-9.080450,-35.640129,2024-01-15 16:15:00,Brasil,ALAGOAS,MATRIZ DE CAMARAGIBE,Mata Atlântica
1668094125,d2695b39-bde2-3d5f-b253-765868c9ab41,-9.270090,-37.179241,2024-01-16 16:56:00,Brasil,ALAGOAS,POÇO DAS TRINCHEIRAS,Caatinga
1668383539,09465580-c416-3ffb-bbd7-accd433a3c13,-9.716410,-36.184269,2024-01-18 16:39:00,Brasil,ALAGOAS,BOCA DA MATA,Mata Atlântica
1668690325,79da0cdc-8f28-3946-861d-17c8793357f4,-9.615230,-35.809738,2024-01-20 16:24:00,Brasil,ALAGOAS,COQUEIRO SECO,Mata Atlântica
1668834361,824df9b2-182d-33a6-b8ec-f3f59916e0f7,-9.786650,-36.163960,2024-01-21 17:06:00,Brasil,ALAGOAS,SÃO MIGUEL DOS CAMPOS,Mata Atlântica
1668834362,f1b3fc07-90be-3247-8973-86a35409981d,-9.782530,-36.156670,2024-01-21 17:06:00,Brasil,ALAGOAS,SÃO MIGUEL DOS CAMPOS,Mata Atlântica
1668834363,417160ea-b793-3614-8e83-93f4a884a202,-9.781250,-36.132221,2024-01-21 17:06:00,Brasil,ALAGOAS,SÃO MIGUEL DOS CAMPOS,Mata Atlântica
1668834364,2e5808fc-8b78-33d6-9874-c3632af5682a,-9.670330,-35.957821,2024-01-21 17:06:00,Brasil,ALAGOAS,MARECHAL DEODORO,Mata Atlântica
1669643323,8b2fd78f-9725-37cb-aabc-d57d37e10ce2,-9.999590,-36.183201,2024-01-27 16:20:00,Brasil,ALAGOAS,CORURIPE,Mata Atlântica
1669643325,e6648b83-9008-35c2-8693-72e9198c17a0,-9.998070,-36.171940,2024-01-27 16:20:00,Brasil,ALAGOAS,CORURIPE,Mata Atlântica
